Size,Algorithm,DataType,AvgComparisons,AvgTime_ms,MedianTime_ms
400,LCP_MergeSort,Common_Prefix,44982,2.370,2.291
500,LCP_MergeSort,Random,4832,2.009,1.936
500,LCP_MergeSort,Reversed,2991,1.882,1.858
500,LCP_MergeSort,Almost_Sorted,4048,1.980,1.977
500,LCP_MergeSort,Common_Prefix,58337,3.007,2.912
600,LCP_MergeSort,Random,6141,2.502,2.458
600,LCP_MergeSort,Reversed,3623,2.466,2.373
600,LCP_MergeSort,Almost_Sorted,5487,2.485,2.311
600,LCP_MergeSort,Common_Prefix,73476,3.685,3.640
700,LCP_MergeSort,Random,7383,3.041,2.899
700,LCP_MergeSort,Reversed,4384,2.954,2.751
700,LCP_MergeSort,Almost_Sorted,6709,2.934,2.814
700,LCP_MergeSort,Common_Prefix,87972,4.333,4.243
800,LCP_MergeSort,Random,8790,3.478,3.440
800,LCP_MergeSort,Reversed,5211,3.350,3.257
800,LCP_MergeSort,Almost_Sorted,7690,3.420,3.364
800,LCP_MergeSort,Common_Prefix,102979,5.166,5.074
900,LCP_MergeSort,Random,10143,4.083,3.843
900,LCP_MergeSort,Reversed,6081,3.793,3.593
900,LCP_MergeSort,Almost_Sorted,9010,3.879,3.728
900,LCP_MergeSort,Common_Prefix,117772,5.891,5.871
1000,LCP_MergeSort,Random,11545,4.554,4.529
1000,LCP_MergeSort,Reversed,7049,4.365,4.171
1000,LCP_MergeSort,Almost_Sorted,10334,4.453,4.389
1000,LCP_MergeSort,Common_Prefix,133172,6.643,6.583
1100,LCP_MergeSort,Random,13067,5.113,5.043
1100,LCP_MergeSort,Reversed,7760,4.769,4.642
1100,LCP_MergeSort,Almost_Sorted,11588,5.017,4.839
1100,LCP_MergeSort,Common_Prefix,149334,7.316,7.217
1200,LCP_MergeSort,Random,14549,5.616,5.524
1200,LCP_MergeSort,Reversed,8533,5.192,5.094
1200,LCP_MergeSort,Almost_Sorted,13046,5.390,5.339
1200,LCP_MergeSort,Common_Prefix,165350,8.198,8.179
1300,LCP_MergeSort,Random,16094,6.276,6.117
1300,LCP_MergeSort,Reversed,9443,5.761,5.613
1300,LCP_MergeSort,Almost_Sorted,14387,6.703,6.244
1300,LCP_MergeSort,Common_Prefix,181810,8.995,9.028
1400,LCP_MergeSort,Random,17568,6.838,6.711
1400,LCP_MergeSort,Reversed,10201,6.319,6.187
1400,LCP_MergeSort,Almost_Sorted,16075,6.569,6.505
1400,LCP_MergeSort,Common_Prefix,198140,9.901,9.816
1500,LCP_MergeSort,Random,19092,7.294,7.329
1500,LCP_MergeSort,Reversed,11203,6.851,6.821
1500,LCP_MergeSort,Almost_Sorted,17314,7.035,7.091
1500,LCP_MergeSort,Common_Prefix,214008,10.579,10.506
1600,LCP_MergeSort,Random,20681,7.719,7.658
1600,LCP_MergeSort,Reversed,12173,7.286,7.245
1600,LCP_MergeSort,Almost_Sorted,18544,7.749,7.395
1600,LCP_MergeSort,Common_Prefix,231074,11.513,11.329
1700,LCP_MergeSort,Random,22350,8.333,8.257
1700,LCP_MergeSort,Reversed,13018,7.754,7.765
1700,LCP_MergeSort,Almost_Sorted,20619,8.200,8.167
1700,LCP_MergeSort,Common_Prefix,248155,16.741,12.298
1800,LCP_MergeSort,Random,23877,8.923,8.699
1800,LCP_MergeSort,Reversed,14065,8.890,8.389
1800,LCP_MergeSort,Almost_Sorted,21531,8.691,8.631
1800,LCP_MergeSort,Common_Prefix,264165,13.087,13.002
1900,LCP_MergeSort,Random,25483,9.337,9.304
1900,LCP_MergeSort,Reversed,15126,8.819,8.790
1900,LCP_MergeSort,Almost_Sorted,23111,9.334,9.158
1900,LCP_MergeSort,Common_Prefix,281753,13.969,13.828
2000,LCP_MergeSort,Random,27207,9.885,9.796
2000,LCP_MergeSort,Reversed,16296,9.522,9.344
2000,LCP_MergeSort,Almost_Sorted,24451,9.744,9.701
2000,LCP_MergeSort,Common_Prefix,299187,14.685,14.487
2100,LCP_MergeSort,Random,28856,10.515,10.428
2100,LCP_MergeSort,Reversed,17232,9.876,9.723
2100,LCP_MergeSort,Almost_Sorted,26154,10.467,10.293
2100,LCP_MergeSort,Common_Prefix,316600,15.595,15.599
2200,LCP_MergeSort,Random,30527,11.090,11.255
2200,LCP_MergeSort,Reversed,17992,11.255,10.556
2200,LCP_MergeSort,Almost_Sorted,27634,10.749,10.714
2200,LCP_MergeSort,Common_Prefix,334032,16.377,16.404
2300,LCP_MergeSort,Random,32256,11.719,11.490
2300,LCP_MergeSort,Reversed,18781,10.860,10.779
2300,LCP_MergeSort,Almost_Sorted,29397,11.295,11.297
2300,LCP_MergeSort,Common_Prefix,351367,18.892,17.589
2400,LCP_MergeSort,Random,33909,12.328,12.188
2400,LCP_MergeSort,Reversed,19599,11.599,11.542
2400,LCP_MergeSort,Almost_Sorted,31460,11.889,11.781
2400,LCP_MergeSort,Common_Prefix,369557,18.200,18.145
2500,LCP_MergeSort,Random,35644,13.012,12.947
2500,LCP_MergeSort,Reversed,20609,12.424,12.329
2500,LCP_MergeSort,Almost_Sorted,32866,12.950,12.496
2500,LCP_MergeSort,Common_Prefix,387524,18.944,18.970
2600,LCP_MergeSort,Random,37356,13.753,13.602
2600,LCP_MergeSort,Reversed,21574,12.698,12.687
2600,LCP_MergeSort,Almost_Sorted,34955,13.169,13.229
2600,LCP_MergeSort,Common_Prefix,405665,20.644,20.060
2700,LCP_MergeSort,Random,39076,13.981,13.810
2700,LCP_MergeSort,Reversed,22491,13.529,13.424
2700,LCP_MergeSort,Almost_Sorted,36325,13.975,13.805
2700,LCP_MergeSort,Common_Prefix,423639,20.816,20.793
2800,LCP_MergeSort,Random,40873,15.026,14.385
2800,LCP_MergeSort,Reversed,23614,13.693,13.641
2800,LCP_MergeSort,Almost_Sorted,37993,14.356,14.311
2800,LCP_MergeSort,Common_Prefix,440704,21.949,21.594
2900,LCP_MergeSort,Random,42653,15.296,15.388
2900,LCP_MergeSort,Reversed,24607,14.416,14.212
2900,LCP_MergeSort,Almost_Sorted,39966,15.199,15.275
2900,LCP_MergeSort,Common_Prefix,459331,22.499,22.540
3000,LCP_MergeSort,Random,44574,15.964,16.037
3000,LCP_MergeSort,Reversed,25636,19.993,14.861
3000,LCP_MergeSort,Almost_Sorted,41301,15.805,15.606
3000,LCP_MergeSort,Common_Prefix,476890,24.199,23.691
100,MSD_RadixSort,Random,174,0.196,0.185
100,MSD_RadixSort,Reversed,170,0.209,0.198
100,MSD_RadixSort,Almost_Sorted,168,0.178,0.168
100,MSD_RadixSort,Common_Prefix,1579,1.001,0.954
200,MSD_RadixSort,Random,396,0.443,0.422
200,MSD_RadixSort,Reversed,392,0.453,0.403
200,MSD_RadixSort,Almost_Sorted,396,0.421,0.420
200,MSD_RadixSort,Common_Prefix,3189,2.212,2.180
300,MSD_RadixSort,Random,618,0.689,0.642
300,MSD_RadixSort,Reversed,610,0.634,0.634
300,MSD_RadixSort,Almost_Sorted,605,0.679,0.670
300,MSD_RadixSort,Common_Prefix,4818,3.509,3.311
400,MSD_RadixSort,Random,819,0.857,0.777
400,MSD_RadixSort,Reversed,813,0.883,0.757
400,MSD_RadixSort,Almost_Sorted,826,0.855,0.733
400,MSD_RadixSort,Common_Prefix,6421,4.304,4.072
500,MSD_RadixSort,Random,1049,0.981,0.969
500,MSD_RadixSort,Reversed,1032,0.952,0.915
500,MSD_RadixSort,Almost_Sorted,1056,0.898,0.896
500,MSD_RadixSort,Common_Prefix,8060,5.023,4.999
600,MSD_RadixSort,Random,1262,1.095,1.086
600,MSD_RadixSort,Reversed,1267,1.159,1.103
600,MSD_RadixSort,Almost_Sorted,1269,1.066,1.032
600,MSD_RadixSort,Common_Prefix,9657,5.814,5.857
700,MSD_RadixSort,Random,1468,1.231,1.187
700,MSD_RadixSort,Reversed,1481,1.304,1.247
700,MSD_RadixSort,Almost_Sorted,1469,1.120,1.105
700,MSD_RadixSort,Common_Prefix,11298,6.938,6.817
800,MSD_RadixSort,Random,1722,1.524,1.474
800,MSD_RadixSort,Reversed,1686,1.424,1.360
800,MSD_RadixSort,Almost_Sorted,1703,1.286,1.255
800,MSD_RadixSort,Common_Prefix,12921,7.527,7.138
900,MSD_RadixSort,Random,1915,1.704,1.584
900,MSD_RadixSort,Reversed,1921,1.658,1.575
900,MSD_RadixSort,Almost_Sorted,1920,1.493,1.468
900,MSD_RadixSort,Common_Prefix,14524,8.435,8.408
1000,MSD_RadixSort,Random,2148,1.829,1.770
1000,MSD_RadixSort,Reversed,2168,1.802,1.770
1000,MSD_RadixSort,Almost_Sorted,2183,1.754,1.730
1000,MSD_RadixSort,Common_Prefix,16200,9.213,9.225
1100,MSD_RadixSort,Random,2399,2.116,2.053
1100,MSD_RadixSort,Reversed,2406,2.068,2.004
1100,MSD_RadixSort,Almost_Sorted,2380,1.809,1.766
1100,MSD_RadixSort,Common_Prefix,17810,10.156,10.131
1200,MSD_RadixSort,Random,2612,2.145,2.004
1200,MSD_RadixSort,Reversed,2650,2.299,2.269
1200,MSD_RadixSort,Almost_Sorted,2619,2.040,1.993
1200,MSD_RadixSort,Common_Prefix,19436,11.017,10.940
1300,MSD_RadixSort,Random,2907,2.708,2.508
1300,MSD_RadixSort,Reversed,2897,2.527,2.454
1300,MSD_RadixSort,Almost_Sorted,2855,2.254,2.158
1300,MSD_RadixSort,Common_Prefix,21087,12.246,11.961
1400,MSD_RadixSort,Random,3088,2.624,2.497
1400,MSD_RadixSort,Reversed,3101,2.579,2.462
1400,MSD_RadixSort,Almost_Sorted,3152,2.645,2.439
1400,MSD_RadixSort,Common_Prefix,22718,12.755,12.713
1500,MSD_RadixSort,Random,3358,2.889,2.718
1500,MSD_RadixSort,Reversed,3329,2.879,2.837
1500,MSD_RadixSort,Almost_Sorted,3349,2.643,2.568
1500,MSD_RadixSort,Common_Prefix,24377,13.689,13.712
1600,MSD_RadixSort,Random,3599,3.117,2.982
1600,MSD_RadixSort,Reversed,3596,3.063,2.996
1600,MSD_RadixSort,Almost_Sorted,3612,2.871,2.839
1600,MSD_RadixSort,Common_Prefix,26011,14.965,14.755
1700,MSD_RadixSort,Random,3861,3.374,3.297
1700,MSD_RadixSort,Reversed,3834,3.252,3.226
1700,MSD_RadixSort,Almost_Sorted,3802,3.061,2.881
1700,MSD_RadixSort,Common_Prefix,27714,15.884,15.787
1800,MSD_RadixSort,Random,4102,3.548,3.539
1800,MSD_RadixSort,Reversed,4126,3.586,3.455
1800,MSD_RadixSort,Almost_Sorted,4108,3.407,3.185
1800,MSD_RadixSort,Common_Prefix,29309,16.588,16.570
1900,MSD_RadixSort,Random,4368,3.755,3.597
1900,MSD_RadixSort,Reversed,4339,3.727,3.613
1900,MSD_RadixSort,Almost_Sorted,4371,3.628,3.445
1900,MSD_RadixSort,Common_Prefix,30929,17.488,17.472
2000,MSD_RadixSort,Random,4624,4.650,4.088
2000,MSD_RadixSort,Reversed,4642,4.329,4.185
2000,MSD_RadixSort,Almost_Sorted,4623,3.732,3.606
2000,MSD_RadixSort,Common_Prefix,32617,18.192,17.965
2100,MSD_RadixSort,Random,4851,4.213,4.063
2100,MSD_RadixSort,Reversed,4887,4.334,4.121
2100,MSD_RadixSort,Almost_Sorted,4849,4.106,4.069
2100,MSD_RadixSort,Common_Prefix,34209,19.229,19.086
2200,MSD_RadixSort,Random,5100,4.455,4.341
2200,MSD_RadixSort,Reversed,5123,4.621,4.429
2200,MSD_RadixSort,Almost_Sorted,5054,3.992,3.768
2200,MSD_RadixSort,Common_Prefix,35953,20.526,20.528
2300,MSD_RadixSort,Random,5395,4.736,4.533
2300,MSD_RadixSort,Reversed,5370,4.768,4.785
2300,MSD_RadixSort,Almost_Sorted,5329,4.317,4.186
2300,MSD_RadixSort,Common_Prefix,37595,20.981,20.934
2400,MSD_RadixSort,Random,5653,5.071,4.828
2400,MSD_RadixSort,Reversed,5628,4.923,4.726
2400,MSD_RadixSort,Almost_Sorted,5652,4.869,4.855
2400,MSD_RadixSort,Common_Prefix,39248,23.244,22.691
2500,MSD_RadixSort,Random,5920,5.225,4.972
2500,MSD_RadixSort,Reversed,5929,5.520,5.120
2500,MSD_RadixSort,Almost_Sorted,5901,4.946,4.759
2500,MSD_RadixSort,Common_Prefix,40907,23.738,23.622
2600,MSD_RadixSort,Random,6185,5.510,5.296
2600,MSD_RadixSort,Reversed,6196,5.522,5.441
2600,MSD_RadixSort,Almost_Sorted,6198,5.196,5.263
2600,MSD_RadixSort,Common_Prefix,42546,24.252,23.930
2700,MSD_RadixSort,Random,6424,5.824,5.502
2700,MSD_RadixSort,Reversed,6434,6.026,5.823
2700,MSD_RadixSort,Almost_Sorted,6429,5.479,5.443
2700,MSD_RadixSort,Common_Prefix,44220,26.051,25.377
2800,MSD_RadixSort,Random,6695,14.821,6.960
2800,MSD_RadixSort,Reversed,6702,6.859,6.850
2800,MSD_RadixSort,Almost_Sorted,6700,7.258,6.856
2800,MSD_RadixSort,Common_Prefix,45932,29.561,27.608
2900,MSD_RadixSort,Random,6920,8.182,7.893
2900,MSD_RadixSort,Reversed,6974,6.934,6.402
2900,MSD_RadixSort,Almost_Sorted,6995,6.753,6.233
2900,MSD_RadixSort,Common_Prefix,47507,39.215,33.108
3000,MSD_RadixSort,Random,7269,6.829,6.741
3000,MSD_RadixSort,Reversed,7350,6.808,6.904
3000,MSD_RadixSort,Almost_Sorted,7230,6.161,6.204
3000,MSD_RadixSort,Common_Prefix,49290,29.149,28.885
100,MSD_RadixSort_QuickSort,Random,153,0.068,0.061
100,MSD_RadixSort_QuickSort,Reversed,160,0.073,0.070
100,MSD_RadixSort_QuickSort,Almost_Sorted,161,0.063,0.060
100,MSD_RadixSort_QuickSort,Common_Prefix,1563,0.830,0.821
200,MSD_RadixSort_QuickSort,Random,402,0.136,0.131
200,MSD_RadixSort_QuickSort,Reversed,408,0.138,0.131
200,MSD_RadixSort_QuickSort,Almost_Sorted,412,0.138,0.131
200,MSD_RadixSort_QuickSort,Common_Prefix,3201,1.616,1.565
300,MSD_RadixSort_QuickSort,Random,711,0.220,0.212
300,MSD_RadixSort_QuickSort,Reversed,731,0.275,0.258
300,MSD_RadixSort_QuickSort,Almost_Sorted,715,0.199,0.196
300,MSD_RadixSort_QuickSort,Common_Prefix,4929,2.508,2.315
400,MSD_RadixSort_QuickSort,Random,1089,0.416,0.355
400,MSD_RadixSort_QuickSort,Reversed,1091,0.309,0.309
400,MSD_RadixSort_QuickSort,Almost_Sorted,1087,0.289,0.276
400,MSD_RadixSort_QuickSort,Common_Prefix,6689,3.196,3.026
500,MSD_RadixSort_QuickSort,Random,1489,0.408,0.381
500,MSD_RadixSort_QuickSort,Reversed,1497,0.495,0.425
500,MSD_RadixSort_QuickSort,Almost_Sorted,1515,0.362,0.358
500,MSD_RadixSort_QuickSort,Common_Prefix,8532,4.012,3.930
600,MSD_RadixSort_QuickSort,Random,1944,0.509,0.504
600,MSD_RadixSort_QuickSort,Reversed,1957,0.534,0.493
600,MSD_RadixSort_QuickSort,Almost_Sorted,1946,0.446,0.443
600,MSD_RadixSort_QuickSort,Common_Prefix,10329,5.384,5.092
700,MSD_RadixSort_QuickSort,Random,2404,0.626,0.606
700,MSD_RadixSort_QuickSort,Reversed,2390,0.624,0.598
700,MSD_RadixSort_QuickSort,Almost_Sorted,2387,0.560,0.561
700,MSD_RadixSort_QuickSort,Common_Prefix,12212,5.464,5.638
800,MSD_RadixSort_QuickSort,Random,2862,0.722,0.680
800,MSD_RadixSort_QuickSort,Reversed,2892,0.689,0.670
800,MSD_RadixSort_QuickSort,Almost_Sorted,2902,0.668,0.623
800,MSD_RadixSort_QuickSort,Common_Prefix,14087,6.159,6.195
900,MSD_RadixSort_QuickSort,Random,3418,0.840,0.772
900,MSD_RadixSort_QuickSort,Reversed,3412,0.859,0.787
900,MSD_RadixSort_QuickSort,Almost_Sorted,3385,0.735,0.699
900,MSD_RadixSort_QuickSort,Common_Prefix,16013,7.273,7.213
1000,MSD_RadixSort_QuickSort,Random,3975,0.935,0.895
1000,MSD_RadixSort_QuickSort,Reversed,3933,0.904,0.883
1000,MSD_RadixSort_QuickSort,Almost_Sorted,3937,0.875,0.830
1000,MSD_RadixSort_QuickSort,Common_Prefix,17971,7.887,7.848
1100,MSD_RadixSort_QuickSort,Random,4454,1.005,0.937
1100,MSD_RadixSort_QuickSort,Reversed,4478,0.989,0.919
1100,MSD_RadixSort_QuickSort,Almost_Sorted,4503,0.893,0.861
1100,MSD_RadixSort_QuickSort,Common_Prefix,19869,8.625,8.701
1200,MSD_RadixSort_QuickSort,Random,5054,1.147,1.090
1200,MSD_RadixSort_QuickSort,Reversed,5072,1.139,1.066
1200,MSD_RadixSort_QuickSort,Almost_Sorted,5062,1.001,0.971
1200,MSD_RadixSort_QuickSort,Common_Prefix,21877,9.474,9.506
1300,MSD_RadixSort_QuickSort,Random,5624,1.223,1.198
1300,MSD_RadixSort_QuickSort,Reversed,5617,1.229,1.187
1300,MSD_RadixSort_QuickSort,Almost_Sorted,5615,1.189,1.100
1300,MSD_RadixSort_QuickSort,Common_Prefix,23811,10.405,10.231
1400,MSD_RadixSort_QuickSort,Random,6240,1.423,1.307
1400,MSD_RadixSort_QuickSort,Reversed,6215,1.291,1.258
1400,MSD_RadixSort_QuickSort,Almost_Sorted,6246,1.447,1.284
1400,MSD_RadixSort_QuickSort,Common_Prefix,25827,11.446,11.101
1500,MSD_RadixSort_QuickSort,Random,6800,1.458,1.361
1500,MSD_RadixSort_QuickSort,Reversed,6855,1.429,1.414
1500,MSD_RadixSort_QuickSort,Almost_Sorted,6846,1.367,1.294
1500,MSD_RadixSort_QuickSort,Common_Prefix,27835,11.987,11.828
1600,MSD_RadixSort_QuickSort,Random,7442,1.558,1.462
1600,MSD_RadixSort_QuickSort,Reversed,7390,1.548,1.501
1600,MSD_RadixSort_QuickSort,Almost_Sorted,7388,1.467,1.408
1600,MSD_RadixSort_QuickSort,Common_Prefix,29826,12.658,12.528
1700,MSD_RadixSort_QuickSort,Random,8096,1.667,1.615
1700,MSD_RadixSort_QuickSort,Reversed,8079,1.679,1.575
1700,MSD_RadixSort_QuickSort,Almost_Sorted,8062,1.580,1.509
1700,MSD_RadixSort_QuickSort,Common_Prefix,31874,13.398,13.219
1800,MSD_RadixSort_QuickSort,Random,8731,1.740,1.655
1800,MSD_RadixSort_QuickSort,Reversed,8725,1.724,1.617
1800,MSD_RadixSort_QuickSort,Almost_Sorted,8687,1.640,1.560
1800,MSD_RadixSort_QuickSort,Common_Prefix,33942,14.276,14.085
1900,MSD_RadixSort_QuickSort,Random,9386,1.905,1.811
1900,MSD_RadixSort_QuickSort,Reversed,9334,1.907,1.788
1900,MSD_RadixSort_QuickSort,Almost_Sorted,9339,1.776,1.707
1900,MSD_RadixSort_QuickSort,Common_Prefix,35983,15.018,14.884
2000,MSD_RadixSort_QuickSort,Random,10015,1.968,1.914
2000,MSD_RadixSort_QuickSort,Reversed,9956,2.090,1.881
2000,MSD_RadixSort_QuickSort,Almost_Sorted,9973,1.932,1.852
2000,MSD_RadixSort_QuickSort,Common_Prefix,38081,15.969,16.027
2100,MSD_RadixSort_QuickSort,Random,10673,2.068,1.961
2100,MSD_RadixSort_QuickSort,Reversed,10705,2.047,1.923
2100,MSD_RadixSort_QuickSort,Almost_Sorted,10622,1.972,1.913
2100,MSD_RadixSort_QuickSort,Common_Prefix,40022,17.312,17.104
2200,MSD_RadixSort_QuickSort,Random,11384,2.277,2.154
2200,MSD_RadixSort_QuickSort,Reversed,11324,2.175,2.106
2200,MSD_RadixSort_QuickSort,Almost_Sorted,11305,2.113,2.053
2200,MSD_RadixSort_QuickSort,Common_Prefix,42059,17.774,17.479
2300,MSD_RadixSort_QuickSort,Random,12054,2.303,2.178
2300,MSD_RadixSort_QuickSort,Reversed,11949,2.293,2.123
2300,MSD_RadixSort_QuickSort,Almost_Sorted,12032,2.187,2.055
2300,MSD_RadixSort_QuickSort,Common_Prefix,44288,18.496,18.352
2400,MSD_RadixSort_QuickSort,Random,12682,2.498,2.474
2400,MSD_RadixSort_QuickSort,Reversed,12686,2.381,2.314
2400,MSD_RadixSort_QuickSort,Almost_Sorted,12701,2.873,2.504
2400,MSD_RadixSort_QuickSort,Common_Prefix,46311,19.627,19.344
2500,MSD_RadixSort_QuickSort,Random,13368,2.599,2.468
2500,MSD_RadixSort_QuickSort,Reversed,13343,2.611,2.413
2500,MSD_RadixSort_QuickSort,Almost_Sorted,13369,2.415,2.326
2500,MSD_RadixSort_QuickSort,Common_Prefix,48403,20.218,20.085
2600,MSD_RadixSort_QuickSort,Random,14129,2.713,2.570
2600,MSD_RadixSort_QuickSort,Reversed,14033,2.742,2.635
2600,MSD_RadixSort_QuickSort,Almost_Sorted,14029,2.565,2.497
2600,MSD_RadixSort_QuickSort,Common_Prefix,50469,21.101,20.763
2700,MSD_RadixSort_QuickSort,Random,14783,2.906,2.721
2700,MSD_RadixSort_QuickSort,Reversed,14835,2.808,2.662
2700,MSD_RadixSort_QuickSort,Almost_Sorted,14818,2.796,2.573
2700,MSD_RadixSort_QuickSort,Common_Prefix,52590,21.914,21.854
2800,MSD_RadixSort_QuickSort,Random,15457,2.936,2.828
2800,MSD_RadixSort_QuickSort,Reversed,15509,2.934,2.838
2800,MSD_RadixSort_QuickSort,Almost_Sorted,15517,5.588,4.641
2800,MSD_RadixSort_QuickSort,Common_Prefix,54585,23.222,23.131
2900,MSD_RadixSort_QuickSort,Random,16224,3.289,2.839
2900,MSD_RadixSort_QuickSort,Reversed,16247,3.094,2.889
2900,MSD_RadixSort_QuickSort,Almost_Sorted,16199,2.956,2.809
2900,MSD_RadixSort_QuickSort,Common_Prefix,56848,23.816,23.640
3000,MSD_RadixSort_QuickSort,Random,17031,3.240,3.127
3000,MSD_RadixSort_QuickSort,Reversed,16968,3.136,3.070
3000,MSD_RadixSort_QuickSort,Almost_Sorted,16928,3.151,3.031
3000,MSD_RadixSort_QuickSort,Common_Prefix,59073,24.358,24.377
